HN_noise_80,HN_noise_75,HN_noise_70,HN_noise_65,HN_noise_60,HN_noise_55,HN_noise_50,HN_noise_45,HN_noise_40,TD_noise_80,TD_noise_75,TD_noise_70,TD_noise_65,TD_noise_60,TD_noise_55,TD_noise_50,TD_noise_45,TD_noise_40,TN_noise_80,TN_noise_75,TN_noise_70,TN_noise_65,TN_noise_60,TN_noise_55,TN_noise_50,TN_noise_45,TN_noise_40,Accidents,Bars,OldTown,ProtectedBuildings,UrbanDensification,multi_family_houses,single_family_houses,Community_Endowments,Endowment_protection_housing,SpecificArrangement,ForestPark,UrbanParks,Infrastructure,PhysicalRemodeling,UrbanRenewal,TechnicalFacilities,RailwaySystem,PortSystem,Transformation(EQUIPMENT),Transformation(PARC),PrivateGreen ,strOri_0,strOri_1,strOri_2,strOri_3,x_coord,y_coord
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.571428571429,0.142857142857,0.142857142857,0.142857142857,1,1,3743,0,16739,0,16053,5669,553,2157,0,1725,0,0,0,0,0,0,0,0,410,788.573953957,398.540303838,311.895532014,940.881245745,428325.179544,4584383.38252
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6,1,0,0,0,14860,27796,26905,0,0,0,0,0,0,0,0,0,0,0,0,0,170.520293433,1085.33111159,171.647350916,1008.79148961,427260.424776,4584242.70797
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28,3,0,0,73631,0,0,9283,0,0,0,14721,0,0,0,0,0,0,0,12826,0,0,1332.52363082,185.235816756,1218.82399348,428775.576461,4581065.86161
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.333333333333,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,4,1,0,0,0,12002,16572,44955,0,6916,0,4187,0,0,0,0,0,0,0,0,0,243.681772898,1506.75139420,229.551969198,1224.38154259,427493.246299,4584500.65085
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333333333333,0.666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.333333333333,0.0,0.0,0.0,0.333333333333,26,10,1747,0,76000,9230,0,7387,0,0,0,0,5762,0,0,0,0,0,0,0,0,0,1323.16924810,159.169124702,1214.11541648,428790.999268,4582200.71571
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.285714285714,0.428571428571,0.142857142857,0.0,0.142857142857,11,3,22861,819,6628,0,0,4402,0,8053,0,21197,0,0,0,0,0,0,0,0,0,672.632244725,1021.99795854,872.268196162,912.338662108,428197.839521,4581028.05417
0.0,0.0,0.0,0.0,0.0,0.428571428571,0.142857142857,0.0,0.428571428571,0.0,0.333333333333,0.333333333333,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.833333333333,0.0,0.0,0.166666666667,0.0,17,6,10949,0,8966,0,0,8836,0,17746,0,104436,0,0,0,0,0,0,0,1272,0,63.0662448941,1954.97694405,468.443733936,1371.13852085,427690.752390,4582336.99850
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.333333333333,0.0,0.0,0.0,16,1,0,0,53384,0,0,2854,0,0,0,670,0,0,0,0,0,0,0,0,157,112.934387386,1634.68790099,694.853926633,841.042686417,430303.220937,4584974.01870
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4,0.0,0.0,14,1,0,0,3551,0,14284,56939,622,5828,0,755,2337,0,0,0,0,0,0,0,0,273.390213169,1410.63779807,392.718921730,951.137297925,427685.555015,4584779.50926
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.428571428571,0.0,0.0,0.285714285714,0.142857142857,0.142857142857,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.125,0.125,0.125,0.125,15,1,0,0,46187,0,0,1639,0,0,0,2886,0,0,0,229,0,0,0,0,0,1784.00016495,725.153207205,668.031681358,452.729209749,428022.455803,4584543.85375
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.666666666667,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,2,1,0,193,0,0,13634,16161,0,0,0,663,0,0,0,0,0,0,0,8347,0,116.029895147,1237.91837051,605.052653538,1087.41927337,427464.355337,4584955.36187
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333333333333,0.0,0.166666666667,0.166666666667,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.642857142857,0.0714285714286,0.142857142857,0.0,0.142857142857,25,4,14488,792,52083,0,0,2812,0,28318,0,11981,42,0,0,0,0,0,0,0,0,109.868195763,1964.70655707,481.060784747,1693.59227580,427675.797711,4581912.61432
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333333333333,0.333333333333,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.333333333333,16,2,2597,0,46336,0,0,10973,0,13957,0,13079,2518,0,0,0,0,0,1166,2039,548,435.880139993,1194.18171041,237.426427177,1500.41389520,428182.331975,4581555.15499
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0769230769231,0.153846153846,0.0,0.307692307692,0.153846153846,0.230769230769,0.0769230769231,0.0,0.0,0.0,0.0,0.0,0.266666666667,0.0,0.266666666667,0.0666666666667,0.4,29,6,1458,0,120475,0,0,38483,0,0,0,2126,0,0,0,0,0,0,0,0,0,77.1468683662,1973.47211639,294.645352681,1732.44685913,428168.853033,4583759.53728
0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19,4,3357,0,22753,14403,0,0,0,4352,0,1064,0,0,0,0,0,0,0,0,0,851.110940639,515.383323112,1637.91096273,50.3491997523,427841.616187,4582787.59188
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.444444444444,0.0,0.222222222222,0.0,0.222222222222,0.111111111111,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.3,0.1,19,1,0,1257,53499,4544,0,6880,0,736,459,0,0,0,0,0,0,0,0,635,0,354.551337404,1787.25093153,248.089211866,1165.78120317,429981.054626,4584745.78401
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.375,0.0,0.25,0.125,0.125,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.4,23,24,22945,0,30845,0,0,8838,0,0,0,57326,1807,0,0,0,0,0,0,0,0,11.0070232800,1738.37686042,9.97508479037,1048.63342550,429129.288529,4582344.92383
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0769230769231,0.923076923077,0.0,0.181818181818,0.454545454545,0.0,0.0909090909091,0.0,0.272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.125,0.0,0.0,0.375,29,21,11038,0,195,0,0,30520,0,8278,0,26487,0,0,0,1444,0,0,0,0,0,785.263105432,698.840647975,1105.05714364,1077.09736105,431054.551829,4580739.02142
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333333333333,0.333333333333,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,19,2,0,0,6300,0,0,0,0,20945,0,0,0,0,0,0,0,0,0,0,0,545.604557852,461.225383418,250.728143434,841.570800633,427000.839692,4581664.97929
0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.6,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.666666666667,0.0,46,32,1448,0,51996,0,0,18104,0,0,0,8593,0,0,0,0,0,0,0,0,0,186.287675153,1038.13783829,208.339352204,1694.25226064,430071.016351,4582041.20878
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333333333333,0.333333333333,0.0,0.166666666667,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.375,0.125,0.125,0.125,0.0,23,1,3581,0,25700,0,8992,9510,0,0,0,4347,11683,0,0,0,0,0,0,0,0,117.887715725,1794.28122724,355.595495463,1800.59889374,429234.350425,4584611.59977
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.25,20,4,0,0,49269,0,0,0,0,37956,0,2907,0,0,0,0,0,0,1166,614,0,362.847301633,998.423514635,58.7801016389,1444.52429225,428446.668558,4581587.57628
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,21,6,0,0,8392,0,0,0,0,19106,0,31876,2766,0,0,0,0,0,0,0,0,550.395492309,555.887357909,1639.39274669,267.550907745,427912.863574,4582637.96947
0.0,0.0,0.0,0.0,0.111111111111,0.0,0.111111111111,0.111111111111,0.666666666667,0.0,0.166666666667,0.5,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857,0.0,0.428571428571,0.285714285714,0.142857142857,0.0,0.0,24,8,0,0,28063,0,0,0,0,20052,0,11026,2787,0,0,0,0,0,0,0,0,678.159985426,356.810946610,1863.78980707,600.683537187,428107.811983,4582676.95010
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.428571428571,0.0,0.142857142857,0.285714285714,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.285714285714,0.285714285714,0.142857142857,0.142857142857,0.142857142857,12,1,0,0,55093,0,17386,30296,0,26155,3132,0,137,0,0,0,0,0,0,6256,0,182.451867009,1684.54139407,423.903228133,1687.43031168,429593.970277,4584934.04573
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.545454545455,0.0,0.181818181818,0.0,0.0909090909091,0.181818181818,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.3,16,1,0,0,29152,10228,0,7440,0,10207,0,0,18480,0,0,0,0,0,0,0,0,58.5280544361,1949.48380396,19.5747175037,2040.71901542,430423.799011,4584469.03580
0.0,0.0,0.0,0.0,0.0625,0.125,0.25,0.1875,0.375,0.0,0.0,0.0833333333333,0.0,0.333333333333,0.0833333333333,0.25,0.166666666667,0.0833333333333,0.0,0.0,0.0,0.0,0.266666666667,0.266666666667,0.0,0.0666666666667,0.4,31,27,71729,0,1442,0,0,22311,0,7222,0,16295,0,0,0,0,0,0,0,0,0,348.631921657,1342.45233376,957.998422543,1753.72177623,430615.016882,4580869.26995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.25,0.0,9,1,0,0,39532,0,3414,8377,0,0,0,1383,408,0,0,0,0,0,0,11975,0,276.609220107,1506.10510470,418.467223336,790.636901815,428232.239519,4584964.52900
0.0,0.0,0.0,0.0,0.142857142857,0.0,0.0,0.0,0.857142857143,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571428571429,0.428571428571,0.0,0.0,0.0,21,7,0,0,47328,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,246.806717972,1053.59846362,610.028109693,1295.32483113,428165.113947,4582924.93866
0.0,0.0,0.0588235294118,0.0,0.0588235294118,0.0,0.0,0.235294117647,0.647058823529,0.0,0.0666666666667,0.133333333333,0.0,0.333333333333,0.333333333333,0.0,0.133333333333,0.0,0.0,0.0,0.111111111111,0.0,0.277777777778,0.166666666667,0.111111111111,0.166666666667,0.166666666667,23,37,46010,0,0,0,0,30788,0,2728,0,23776,0,0,0,1194,37763,0,1274,0,0,106.572891556,2427.83232325,240.120097208,1958.79844333,431160.955466,4581037.51155
